Year,MG,Location,Planting,Yield,VE,R1,R4,R7,R8,bushels,moisture,Notes
2014,2.7,Ames,5/6/2014,3686,5/20/2014,6/20/2014,7/3/2014,9/28/2014,10/22/2014,63,13,
2014,2.2,Ames,6/10/2014,2711,6/16/2014,7/30/2014,8/1/2014,10/3/2014,10/22/2014,46,13,
2014,3.5,Ames,6/10/2014,2970,6/16/2014,7/30/2014,8/1/2014,10/17/2014,10/22/2014,53,16,
2014,2.5,Ames,6/10/2014,3466,6/16/2014,7/30/2014,8/1/2014,10/8/2014,10/22/2014,60,14,
2014,2.7,Ames,6/10/2014,2886,6/16/2014,7/30/2014,8/1/2014,10/1/2014,10/22/2014,50,13,
2014,3.5,Ames,5/20/2014,2558,5/27/2014,6/26/2014,7/7/2014,9/28/2014,10/22/2014,44,13,
2014,2.2,Ames,5/20/2014,3380,5/27/2014,6/26/2014,7/7/2014,10/1/2014,10/22/2014,58,13,
2014,2.5,Ames,5/20/2014,3368,5/27/2014,6/26/2014,7/7/2014,9/21/2014,10/22/2014,60,16,
2014,2.7,Ames,5/20/2014,3387,5/27/2014,6/26/2014,7/7/2014,10/2/2014,10/22/2014,58,13,
2015,2.5,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,33,13,
2015,2.2,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,43,17,
2015,3.5,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,42,13,
2015,2.2,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,43,13,
2015,3.5,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,47,13,
2015,2.5,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,49,13,
2015,2.2,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,48,13,
2015,2.2,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,51,13,
2015,3.5,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,40,17,
2015,2.2,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,45,13,
2015,2.2,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,42,13,
2015,2.5,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,40,13,
2015,2.2,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,17,16,
2015,3.5,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,23,14,
2015,2.2,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,28,13,
2015,2.5,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,26,13,
2015,2.2,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,43,13,
2015,3.5,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,46,16,
2015,2.5,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,45,13,
2015,2.2,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,46,13,
2015,2.2,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,47,13,
2015,2.5,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,45,13,
2015,2.2,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,52,13,
2015,3.5,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,47,13,
2015,2.2,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,47,15,
2015,2.2,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,51,13,
2015,3.5,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,51,13,
2015,2.5,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,48,13,
2015,2.2,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,18,14,
2015,2.2,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,21,14,
2015,2.5,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,27,13,
2015,3.5,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,22,13,
2015,3.5,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,43,13,
2015,2.2,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,41,14,
2015,2.5,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,47,13,
2015,2.2,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,44,13,
2015,2.2,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,16,14,
2015,3.5,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,25,13,
2015,2.2,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,26,13,
2015,2.5,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,28,13,
2015,2.2,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,50,13,
2015,2.5,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,47,13,
2015,3.5,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,41,13,
2015,2.2,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,40,13,
2015,2.5,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,42,13,
2015,3.5,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,39,17,
2015,2.2,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,42,13,
2015,2.5,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,39,13,
2015,3.5,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,41,13,
2015,2.2,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,44,14,
2015,2.2,Ames,7/8/2015,,7/6/2015,8/7/2015,8/24/2015,10/5/2015,10/19/2015,28,15,
2015,2.2,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,58,13,
2015,2.5,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,54,13,
2015,3.5,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,58,13,
2015,2.2,Ames,5/6/2015,,5/13/2015,7/13/2015,7/24/2015,9/14/2015,9/23/2015,56,13,
2015,2.2,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,46,13,
2015,3.5,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,47,16,
2015,2.5,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,60,14,
2015,2.2,Ames,6/10/2015,,6/15/2015,7/20/2015,8/12/2015,9/28/2015,10/9/2015,50,13,
2015,3.5,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,44,13,
2015,2.2,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,55,13,
2015,2.5,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,60,16,
2015,2.2,Ames,5/20/2015,,5/25/2015,7/13/2015,7/31/2015,9/21/2015,8/5/2015,55,13,
2016,2.5,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,26,13,
2016,2.7,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,29,13,
2016,3.5,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,31,12,
2016,2.2,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,31,12,
2016,3.5,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,77,12,
2016,2.5,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,35,12,
2016,2.7,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,37,12,
2016,2.2,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,42,12,
2016,3.5,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,50,12,
2016,2.7,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,40,12,
2016,2.2,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,40,12,
2016,2.5,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,37,13,
2016,2.2,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,27,13,
2016,3.5,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,33,13,
2016,2.7,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,26,16,
2016,2.5,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,14,16,
2016,2.7,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,36,13,
2016,3.5,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,37,13,
2016,2.5,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,36,12,
2016,2.2,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,34,13,
2016,2.5,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,43,13,
2016,2.2,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,47,12,
2016,3.5,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,42,12,
2016,2.2,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,48,12,
2016,2.7,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,47,13,
2016,3.5,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,41,12,
2016,2.5,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,45,12,
2016,2.7,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,45,12,
2016,2.2,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,26,12,
2016,2.5,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,21,14,
2016,3.5,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,19,13,
2016,3.5,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,38,13,
2016,2.7,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,44,13,
2016,2.5,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,45,13,
2016,2.2,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,47,12,
2016,2.2,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,48,12,
2016,3.5,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,31,12,
2016,2.7,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,31,12,
2016,2.5,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,23,12,
2016,2.7,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,53,11,
2016,2.2,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,46,13,
2016,2.5,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,41,13,
2016,3.5,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,40,13,
2016,2.7,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,35,13,
2016,2.5,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,42,12,
2016,3.5,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,43,14,
2016,2.2,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,36,13,
2016,2.5,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,23,14,
2016,3.5,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,30,13,
2016,2.7,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,28,13,
2016,2.2,Ames,7/1/2016,,7/8/2016,8/12/2016,8/26/2016,9/30/2016,10/14/2016,26,13,
2016,2.2,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,34,12,
2016,2.5,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,43,13,
2016,3.5,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,37,13,
2016,2.7,Ames,5/6/2016,,5/15/2016,7/1/2016,7/21/2016,9/2/2016,9/26/2016,52,14,
2016,2.2,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,47,12,
2016,3.5,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,40,12,
2016,2.5,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,35,13,
2016,2.7,Ames,6/9/2016,,6/17/2016,7/22/2016,8/1/2016,9/23/2016,10/7/2016,35,11,
2016,3.5,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,38,13,
2016,2.2,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,43,13,
2016,2.5,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,46,12,
2016,2.7,Ames,5/19/2016,,5/30/2016,7/11/2016,7/29/2016,9/16/2016,9/30/2016,47,14,
2017,2.3,Ames,4/24/2017,,,,,,,68,13,
2017,2.3,Ames,4/24/2017,,,,,,,62,12,
2017,2.3,Ames,4/24/2017,,,,,,,65,13,
2017,2.3,Ames,4/24/2017,,,,,,,51,13,
2017,2.3,Ames,5/8/2017,,,,,,,72,13,
2017,2.3,Ames,5/8/2017,,,,,,,58,13,
2017,2.3,Ames,5/8/2017,,,,,,,70,13,
2017,2.3,Ames,5/8/2017,,,,,,,59,13,
2017,2.3,Ames,5/15/2017,,,,,,,65,13,
2017,2.3,Ames,5/15/2017,,,,,,,58,13,
2017,2.3,Ames,5/15/2017,,,,,,,70,13,
2017,2.3,Ames,5/15/2017,,,,,,,62,13,
2017,2.3,Ames,6/7/2017,,,,,,,67,12,
2017,2.3,Ames,6/7/2017,,,,,,,52,13,
2017,2.3,Ames,6/7/2017,,,,,,,71,13,
2017,2.3,Ames,6/7/2017,,,,,,,56,12,
2017,2.6,Ames,4/24/2017,,,,,,,52,13,
2017,2.6,Ames,4/24/2017,,,,,,,71,13,
2017,2.6,Ames,4/24/2017,,,,,,,62,13,
2017,2.6,Ames,4/24/2017,,,,,,,67,13,
2017,2.6,Ames,5/8/2017,,,,,,,64,13,
2017,2.6,Ames,5/8/2017,,,,,,,67,13,
2017,2.6,Ames,5/8/2017,,,,,,,61,13,
2017,2.6,Ames,5/8/2017,,,,,,,68,13,
2017,2.6,Ames,5/15/2017,,,,,,,70,12,
2017,2.6,Ames,5/15/2017,,,,,,,68,13,
2017,2.6,Ames,5/15/2017,,,,,,,65,12,
2017,2.6,Ames,5/15/2017,,,,,,,62,13,
2017,2.6,Ames,6/7/2017,,,,,,,72,12,
2017,2.6,Ames,6/7/2017,,,,,,,69,13,
2017,2.6,Ames,6/7/2017,,,,,,,62,13,
2017,2.6,Ames,6/7/2017,,,,,,,69,13,
2017,2.9,Ames,4/24/2017,,,,,,,55,12,
2017,2.9,Ames,4/24/2017,,,,,,,67,13,
2017,2.9,Ames,4/24/2017,,,,,,,74,13,
2017,2.9,Ames,4/24/2017,,,,,,,59,13,
2017,2.9,Ames,5/8/2017,,,,,,,59,13,
2017,2.9,Ames,5/8/2017,,,,,,,73,12,
2017,2.9,Ames,5/8/2017,,,,,,,61,13,
2017,2.9,Ames,5/8/2017,,,,,,,55,13,
2017,2.9,Ames,5/15/2017,,,,,,,61,13,
2017,2.9,Ames,5/15/2017,,,,,,,74,13,
2017,2.9,Ames,5/15/2017,,,,,,,63,13,
2017,2.9,Ames,5/15/2017,,,,,,,58,13,
2017,2.9,Ames,6/7/2017,,,,,,,66,13,
2017,2.9,Ames,6/7/2017,,,,,,,74,13,
2017,2.9,Ames,6/7/2017,,,,,,,60,12,
2017,2.9,Ames,6/7/2017,,,,,,,60,13,
2017,3.6,Ames,4/24/2017,,,,,,,60,13,
2017,3.6,Ames,4/24/2017,,,,,,,64,13,
2017,3.6,Ames,4/24/2017,,,,,,,63,13,
2017,3.6,Ames,4/24/2017,,,,,,,54,13,
2017,3.6,Ames,5/8/2017,,,,,,,51,13,
2017,3.6,Ames,5/8/2017,,,,,,,65,13,
2017,3.6,Ames,5/8/2017,,,,,,,62,12,
2017,3.6,Ames,5/8/2017,,,,,,,50,13,
2017,3.6,Ames,5/15/2017,,,,,,,62,13,
2017,3.6,Ames,5/15/2017,,,,,,,63,13,
2017,3.6,Ames,5/15/2017,,,,,,,66,13,
2017,3.6,Ames,5/15/2017,,,,,,,60,13,
2017,3.6,Ames,6/7/2017,,,,,,,63,13,
2017,3.6,Ames,6/7/2017,,,,,,,62,13,
2017,3.6,Ames,6/7/2017,,,,,,,60,13,
2017,3.6,Ames,6/7/2017,,,,,,,61,13,
2014,3.9,Armstrong,5/5/2014,4362,5/19/2014,6/25/2014,7/22/2014,10/3/2014,10/30/2014,73,11,
2014,3.5,Armstrong,5/5/2014,4060,5/19/2014,6/25/2014,7/22/2014,9/26/2014,10/30/2014,67,9,
2014,3.9,Armstrong,5/19/2014,4671,5/28/2014,7/11/2014,7/25/2014,10/10/2014,10/30/2014,78,11,
2014,3.5,Armstrong,5/19/2014,4060,5/28/2014,7/11/2014,7/25/2014,10/3/2014,10/30/2014,68,12,
2014,2.5,Armstrong,5/19/2014,3805,5/28/2014,7/11/2014,7/25/2014,9/29/2014,10/30/2014,64,11,
2014,3.5,Armstrong,6/3/2014,3592,6/15/2014,7/24/2014,8/6/2014,10/6/2014,10/30/2014,60,11,
2014,2.5,Armstrong,6/3/2014,2765,6/15/2014,7/24/2014,8/6/2014,10/1/2014,10/30/2014,46,11,
2014,3.9,Armstrong,6/3/2014,3746,6/15/2014,7/24/2014,8/6/2014,10/13/2014,10/30/2014,62,10,
2014,2.5,Armstrong,7/3/2014,1990,7/10/2014,8/14/2014,8/26/2014,10/10/2014,10/30/2014,33,11,
